"CVE name	port#	severity rating	estimated price	description	link",,,,,,,,,,,,
"CVE-2015-4620	getPORT#	7.8	get_price()	name.c in named in ISC BIND 9.7.x through 9.9.x before 9.9.7-P1 and 9.10.x before 9.10.2-P2", when configured as a recursive resolver with DNSSEC validation," allows remote attackers to cause a denial of service (REQUIRE assertion failure and daemon exit) by constructing crafted zone data and then making a query for a name in that zone.	https://nvd.nist.gov/vuln/detail/CVE-2015-4620",,,,,,,,,,
"CVE-2014-8500	getPORT#	7.8	get_price()	ISC BIND 9.0.x through 9.8.x", 9.9.0 through 9.9.6, and 9.10.0 through 9.10.1 does not limit delegation chaining," which allows remote attackers to cause a denial of service (memory consumption and named crash) via a large or infinite number of referrals.	https://nvd.nist.gov/vuln/detail/CVE-2014-8500",,,,,,,,,
"CVE-2013-4854	getPORT#	7.8	get_price()	The RFC 5011 implementation in rdata.c in ISC BIND 9.7.x and 9.8.x before 9.8.5-P2", 9.8.6b1, 9.9.x before 9.9.3-P2, and 9.9.4b1, and DNSco BIND 9.9.3-S1 before 9.9.3-S1-P1 and 9.9.4-S1b1, allows remote attackers to cause a denial of service (assertion failure and named daemon exit) via a query with a malformed RDATA section that is not properly handled during construction of a log message," as exploited in the wild in July 2013.	https://nvd.nist.gov/vuln/detail/CVE-2013-4854",,,,,,
"CVE-2013-2266	getPORT#	7.8	get_price()	libdns in ISC BIND 9.7.x and 9.8.x before 9.8.4-P2", 9.8.5 before 9.8.5b2, 9.9.x before 9.9.2-P2, and 9.9.3 before 9.9.3b2 on UNIX platforms allows remote attackers to cause a denial of service (memory consumption) via a crafted regular expression," as demonstrated by a memory-exhaustion attack against a machine running a named process.	https://nvd.nist.gov/vuln/detail/CVE-2013-2266",,,,,,,,
"CVE-2012-5688	getPORT#	7.8	get_price()	ISC BIND 9.8.x before 9.8.4-P1 and 9.9.x before 9.9.2-P1", when DNS64 is enabled," allows remote attackers to cause a denial of service (assertion failure and daemon exit) via a crafted query.	https://nvd.nist.gov/vuln/detail/CVE-2012-5688",,,,,,,,,,
"CVE-2012-5166	getPORT#	7.8	get_price()	ISC BIND 9.x before 9.7.6-P4", 9.8.x before 9.8.3-P4, 9.9.x before 9.9.1-P4," and 9.4-ESV and 9.6-ESV before 9.6-ESV-R7-P4 allows remote attackers to cause a denial of service (named daemon hang) via unspecified combinations of resource records.	https://nvd.nist.gov/vuln/detail/CVE-2012-5166",,,,,,,,,
"CVE-2012-4244	getPORT#	7.8	get_price()	ISC BIND 9.x before 9.7.6-P3", 9.8.x before 9.8.3-P3, 9.9.x before 9.9.1-P3," and 9.4-ESV and 9.6-ESV before 9.6-ESV-R7-P3 allows remote attackers to cause a denial of service (assertion failure and named daemon exit) via a query for a long resource record.	https://nvd.nist.gov/vuln/detail/CVE-2012-4244",,,,,,,,,
"CVE-2012-3817	getPORT#	7.8	get_price()	ISC BIND 9.4.x", 9.5.x, 9.6.x, and 9.7.x before 9.7.6-P2; 9.8.x before 9.8.3-P2; 9.9.x before 9.9.1-P2; and 9.6-ESV before 9.6-ESV-R7-P2, when DNSSEC validation is enabled, does not properly initialize the failing-query cache," which allows remote attackers to cause a denial of service (assertion failure and daemon exit) by sending many queries.	https://nvd.nist.gov/vuln/detail/CVE-2012-3817",,,,,,
"CVE-2017-3141	getPORT#	7.8 HIGH	get_price()	The BIND installer on Windows uses an unquoted service path which can enable a local user to achieve privilege escalation if the host file system permissions allow this. Affects BIND 9.2.6-P2->9.2.9", 9.3.2-P1->9.3.6, 9.4.0->9.8.8, 9.9.0->9.9.10, 9.10.0->9.10.5, 9.11.0->9.11.1, 9.9.3-S1->9.9.10-S1," 9.10.5-S1.	https://nvd.nist.gov/vuln/detail/CVE-2017-3141",,,,,
"CVE-2015-8461	getPORT#	7.1	get_price()	Race condition in resolver.c in named in ISC BIND 9.9.8 before 9.9.8-P2 and 9.10.3 before 9.10.3-P2 allows remote attackers to cause a denial of service (INSIST assertion failure and daemon exit) via unspecified vectors.	https://nvd.nist.gov/vuln/detail/CVE-2015-8461",,,,,,,,,,,,
"CVE-2012-5689	getPORT#	7.1	get_price()	ISC BIND 9.8.x through 9.8.4-P1 and 9.9.x through 9.9.2-P1", in certain configurations involving DNS64 with a Response Policy Zone that lacks an AAAA rewrite rule," allows remote attackers to cause a denial of service (assertion failure and named daemon exit) via a query for an AAAA record.	https://nvd.nist.gov/vuln/detail/CVE-2012-5689",,,,,,,,,,
"CVE-2020-8625	getPORT#	8.1 HIGH	get_price()	BIND servers are vulnerable if they are running an affected version and are configured to use GSS-TSIG features. In a configuration which uses BIND's default settings the vulnerable code path is not exposed", but a server can be rendered vulnerable by explicitly setting valid values for the tkey-gssapi-keytab or tkey-gssapi-credentialconfiguration options. Although the default configuration is not vulnerable, GSS-TSIG is frequently used in networks where BIND is integrated with Samba, as well as in mixed-server environments that combine BIND servers with Active Directory domain controllers. The most likely outcome of a successful exploitation of the vulnerability is a crash of the named process. However, remote code execution, while unproven, is theoretically possible. Affects: BIND 9.5.0 -> 9.11.27, 9.12.0 -> 9.16.11," and versions BIND 9.11.3-S1 -> 9.11.27-S1 and 9.16.8-S1 -> 9.16.11-S1 of BIND Supported Preview Edition. Also release versions 9.17.0 -> 9.17.1 of the BIND 9.17 development branch	https://nvd.nist.gov/vuln/detail/CVE-2020-8625",,,,
"CVE-2013-6230	getPORT#	6.8	get_price()	The Winsock WSAIoctl API in Microsoft Windows Server 2008", as used in ISC BIND 9.6-ESV before 9.6-ESV-R10-P1, 9.8 before 9.8.6-P1, 9.9 before 9.9.4-P1, 9.9.3-S1, 9.9.4-S1, and other products, does not properly support the SIO_GET_INTERFACE_LIST command for netmask 255.255.255.255," which allows remote attackers to bypass intended IP address restrictions by leveraging misinterpretation of this netmask as a 0.0.0.0 netmask.	https://nvd.nist.gov/vuln/detail/CVE-2013-6230",,,,
